ano,populacao,ibge7
2021,3178,3125507
2021,7548,3125606
2021,15528,3125705
2021,3500,3125804
2021,9576,3125903
2021,11100,3125952
2021,7602,3126000
2021,67956,3126109
2021,9810,3126208
2021,4460,3126307
2021,2986,3126406
2021,10311,3126505
2021,5268,3126604
2021,26459,3126703
2021,5287,3126752
2021,5858,3126802
2021,9716,3126901
2021,3496,3126950
2021,18866,3127008
2021,4542,3127057
2021,5232,3127073
2021,60508,3127107
2021,4434,3127206
2021,6764,3127305
2021,5084,3127339
2021,3177,3127354
2021,3402,3127370
2021,4014,3127388
2021,4360,3127404
2021,6184,3127503
2021,11811,3127602
2021,282164,3127701
2021,15943,3127800
2021,1386,3127909
2021,34818,3128006
2021,14269,3128105
2021,10307,3128204
2021,5005,3128253
2021,19014,3128303
2021,8926,3128402
2021,3755,3128501
2021,6558,3128600
2021,52234,3128709
2021,7026,3128808
2021,8168,3128907
2021,8296,3129004
2021,5516,3129103
2021,6623,3129202
2021,11085,3129301
2021,4999,3129400
2021,25511,3129509
2021,8478,3129608
2021,5340,3129657
2021,14128,3129707
2021,184030,3129806
2021,3497,3129905
2021,3003,3130002
2021,12200,3130051
2021,44561,3130101
2021,11146,3130200
2021,7901,3130309
2021,6667,3130408
2021,12511,3130507
2021,6976,3130556
2021,7387,3130606
2021,7328,3130655
2021,7009,3130705
2021,2785,3130804
2021,24020,3130903
2021,6352,3131000
2021,7605,3131109
2021,18926,3131158
2021,20133,3131208
2021,267333,3131307
2021,4229,3131406
2021,10156,3131505
2021,7067,3131604
2021,121717,3131703
2021,11637,3131802
2021,52996,3131901
2021,5447,3132008
2021,18175,3132107
2021,13510,3132206
2021,12910,3132305
2021,97782,3132404
2021,35130,3132503
2021,4395,3132602
2021,23207,3132701
2021,2032,3132800
2021,10122,3132909
2021,15844,3133006
2021,15511,3133105
2021,12259,3133204
2021,20997,3133303
2021,15511,3133402
2021,21760,3133501
2021,9976,3133600
2021,11354,3133709
2021,16286,3133758
2021,94455,3133808
2021,5321,3133907
2021,15053,3134004
2021,6074,3134103
2021,105818,3134202
2021,5978,3134301
2021,40101,3134400
2021,3749,3134509
2021,20683,3134608
2021,12320,3134707
2021,7695,3134806
2021,26538,3134905
2021,3151,3135001
2021,39850,3135050
2021,5453,3135076
2021,72374,3135100
2021,67958,3135209
2021,4418,3135308
2021,7991,3135357
2021,4795,3135407
2021,7781,3135456
2021,12246,3135506
2021,7407,3135605
2021,5203,3135704
2021,25555,3135803
2021,4774,3135902
2021,15476,3136009
2021,4382,3136108
2021,80903,3136207
2021,47990,3136306
2021,4757,3136405
2021,10872,3136504
2021,4474,3136520
2021,5104,3136553
2021,4911,3136579
2021,5739,3136603
2021,27823,3136652
2021,577532,3136702
2021,4359,3136801
2021,10795,3136900
2021,5706,3136959
2021,18272,3137007
2021,7588,3137106
2021,53236,3137205
2021,4062,3137304
2021,13115,3137403
2021,18168,3137502
2021,9681,3137536
2021,66744,3137601
2021,19914,3137700
2021,20995,3137809
2021,3366,3137908
2021,6856,3138005
2021,6494,3138104
2021,105756,3138203
2021,3222,3138302
2021,4923,3138351
2021,52690,3138401
2021,4994,3138500
2021,16749,3138609
2021,7640,3138625
2021,9766,3138658
2021,6249,3138674
2021,6735,3138682
2021,5431,3138708
2021,18297,3138807
2021,7112,3138906
2021,42682,3139003
2021,5119,3139102
2021,18556,3139201
2021,6565,3139250
2021,18051,3139300
2021,92074,3139409
2021,22894,3139508
2021,27651,3139607
2021,8113,3139706
2021,12985,3139805
2021,14019,3139904
2021,61830,3140001
2021,4079,3140100
2021,15814,3140159
2021,3000,3140209
2021,4030,3140308
2021,2701,3140407
2021,13497,3140506
2021,8640,3140530
2021,8700,3140555
2021,4415,3140605
2021,31631,3140704
2021,14626,3140803
2021,11360,3140852
2021,19098,3140902
2021,12367,3141009
2021,38469,3141108
2021,3733,3141207
2021,3861,3141306
2021,20701,3141405
2021,6446,3141504
2021,10775,3141603
2021,5489,3141702
2021,31509,3141801
2021,3891,3141900
2021,13651,3142007
2021,10818,3142106
2021,15205,3142205
2021,4939,3142254
2021,4948,3142304
2021,7589,3142403
2021,2184,3142502
2021,8764,3142601
2021,14621,3142700
2021,21349,3142809
2021,20544,3142908
2021,13139,3143005
2021,48049,3143104
2021,4939,3143153
2021,21504,3143203
2021,417478,3143302
2021,24247,3143401
2021,8379,3143450
2021,8955,3143500
2021,2413,3143609
2021,3126,3143708
2021,5960,3143807
2021,109997,3143906
2021,26945,3144003
2021,20522,3144102
2021,3221,3144201
2021,40583,3144300
2021,7104,3144359
2021,3306,3144375
2021,4727,3144409
2021,8710,3144508
2021,26882,3144607
2021,10355,3144656
2021,3067,3144672
2021,17524,3144706
2021,97378,3144805
2021,3548,3144904
2021,16046,3145000
2021,7493,3145059
2021,16937,3145109
2021,108241,3145208
2021,31339,3145307
2021,10800,3145356
2021,5348,3145372
2021,1694,3145406
2021,6243,3145455
2021,2829,3145505
2021,41987,3145604
2021,2128,3145703
2021,3155,3145802
2021,4671,3145851
2021,8138,3145877
2021,40220,3145901
2021,33938,3146008
2021,74824,3146107
2021,5895,3146206
